# SIMULACION DE COLISIONES MULTIPLES
# tiempo  id  x  y  velX  velY  masa
#--------------------------------------------------
0  0  105.657  105.559  56.5685  55.5875  10
0  1  395.757  204.145  -42.4264  41.4454  20
0  2  303.078  508.359  30.7818  83.5913  15
0  3  693.505  296.152  -64.9519  -38.481  12
0.1  0  111.314  111.019  56.5685  54.6065  10
0.1  1  391.515  208.191  -42.4264  40.4644  20
0.1  2  306.156  516.62  30.7818  82.6103  15
0.1  3  687.01  292.206  -64.9519  -39.462  12
0.2  0  116.971  116.382  56.5685  53.6255  10
0.2  1  387.272  212.139  -42.4264  39.4834  20
0.2  2  309.235  524.783  30.7818  81.6293  15
0.2  3  680.514  288.161  -64.9519  -40.443  12
0.3  0  122.627  121.646  56.5685  52.6445  10
0.3  1  383.029  215.99  -42.4264  38.5024  20
0.3  2  312.313  532.848  30.7818  80.6483  15
0.3  3  674.019  284.019  -64.9519  -41.424  12
0.4  0  128.284  126.813  56.5685  51.6635  10
0.4  1  378.787  219.742  -42.4264  37.5214  20
0.4  2  315.391  540.815  30.7818  79.6673  15
0.4  3  667.524  279.779  -64.9519  -42.405  12
0.5  0  133.941  131.881  56.5685  50.6825  10
0.5  1  374.544  223.396  -42.4264  36.5404  20
0.5  2  318.469  548.683  30.7818  78.6863  15
0.5  3  661.029  275.44  -64.9519  -43.386  12
0.6  0  139.598  136.851  56.5685  49.7015  10
0.6  1  370.302  226.952  -42.4264  35.5594  20
0.6  2  321.547  556.454  30.7818  77.7053  15
0.6  3  654.534  271.003  -64.9519  -44.367  12
0.7  0  145.255  141.723  56.5685  48.7205  10
0.7  1  366.059  230.41  -42.4264  34.5784  20
0.7  2  324.625  564.126  30.7818  76.7243  15
0.7  3  648.038  266.468  -64.9519  -45.348  12
0.8  0  150.912  146.497  56.5685  47.7395  10
0.8  1  361.816  233.769  -42.4264  33.5974  20
0.8  2  327.704  571.701  30.7818  75.7433  15
0.8  3  641.543  261.835  -64.9519  -46.329  12
0.9  0  156.569  151.173  56.5685  46.7585  10
0.9  1  357.574  237.031  -42.4264  32.6164  20
0.9  2  330.782  579.177  30.7818  74.7623  15
0.9  3  635.048  257.104  -64.9519  -47.31  12
1  0  162.225  155.751  56.5685  45.7775  10
1  1  353.331  240.194  42.4264  31.6354  20
1  2  333.86  586.555  30.7818  73.7813  15
1  3  628.553  252.275  -64.9519  -48.291  12
1.1  0  167.882  160.23  56.5685  44.7965  10
1.1  1  357.574  243.26  42.4264  -21.4581  20
1.1  2  336.938  593.835  30.7818  72.8003  15
1.1  3  622.058  247.348  -64.9519  -49.272  12
1.2  0  173.539  164.612  56.5685  43.8155  10
1.2  1  361.816  241.016  42.4264  15.7074  20
1.2  2  340.016  601.017  30.7818  71.8193  15
1.2  3  615.563  242.323  -64.9519  -50.253  12
1.3  0  179.196  168.895  56.5685  42.8345  10
1.3  1  366.059  242.489  42.4264  -10.3085  20
1.3  2  343.095  608.101  30.7818  70.8383  15
1.3  3  609.067  237.199  -64.9519  -51.234  12
1.4  0  184.853  173.081  56.5685  41.8535  10
1.4  1  370.302  241.36  42.4264  7.90262  20
1.4  2  346.173  615.087  30.7818  69.8573  15
1.4  3  602.572  231.978  -64.9519  -52.215  12
1.5  0  190.51  177.168  56.5685  40.8725  10
1.5  1  374.544  242.052  42.4264  -4.84513  20
1.5  2  349.251  621.974  30.7818  68.8763  15
1.5  3  596.077  226.658  -64.9519  -53.196  12
1.6  0  196.167  181.157  56.5685  39.8915  10
1.6  1  378.787  241.469  42.4264  4.07829  20
1.6  2  352.329  628.764  30.7818  67.8953  15
1.6  3  589.582  221.241  -64.9519  -54.177  12
1.7  0  201.823  185.048  56.5685  38.9105  10
1.7  1  383.029  241.779  42.4264  -2.1681  20
1.7  2  355.407  635.455  30.7818  66.9143  15
1.7  3  583.087  215.725  -64.9519  -55.158  12
1.8  0  207.48  188.841  56.5685  37.9295  10
1.8  1  387.272  241.464  42.4264  2.20437  20
1.8  2  358.485  642.048  30.7818  65.9333  15
1.8  3  576.591  210.111  -64.9519  -56.139  12
1.9  0  213.137  192.536  56.5685  36.9485  10
1.9  1  391.515  241.586  42.4264  0  20
1.9  2  361.564  648.544  30.7818  64.9523  15
1.9  3  570.096  204.399  -64.9519  -57.12  12
2  0  218.794  196.133  56.5685  35.9675  10
2  1  395.757  241.488  42.4264  0  20
2  2  364.642  654.941  30.7818  63.9713  15
2  3  563.601  198.589  -64.9519  -58.101  12
2.1  0  224.451  199.631  56.5685  34.9865  10
2.1  1  400  241.39  42.4264  0  20
2.1  2  367.72  661.24  30.7818  62.9903  15
2.1  3  557.106  192.681  -64.9519  -59.082  12
2.2  0  230.108  203.032  56.5685  34.0055  10
2.2  1  404.243  241.292  42.4264  0  20
2.2  2  370.798  667.441  30.7818  62.0093  15
2.2  3  550.611  186.674  -64.9519  -60.063  12
2.3  0  235.765  206.335  56.5685  33.0245  10
2.3  1  408.485  241.194  42.4264  0  20
2.3  2  373.876  673.544  30.7818  61.0283  15
2.3  3  544.115  180.57  -64.9519  -61.044  12
2.4  0  241.421  209.539  56.5685  32.0435  10
2.4  1  412.728  241.096  42.4264  0  20
2.4  2  376.955  679.548  30.7818  60.0473  15
2.4  3  537.62  174.367  -64.9519  -62.025  12
2.5  0  247.078  212.645  56.5685  31.0625  10
2.5  1  416.971  240.998  42.4264  0  20
2.5  2  380.033  685.455  30.7818  59.0663  15
2.5  3  531.125  168.067  -64.9519  -63.006  12
2.6  0  252.735  215.653  56.5685  30.0815  10
2.6  1  421.213  240.9  42.4264  0  20
2.6  2  383.111  691.264  30.7818  58.0853  15
2.6  3  524.63  161.668  -64.9519  -63.987  12
2.7  0  258.392  218.563  56.5685  29.1005  10
2.7  1  425.456  240.802  42.4264  0  20
2.7  2  386.189  696.974  30.7818  57.1043  15
2.7  3  518.135  155.171  -64.9519  -64.968  12
2.8  0  264.049  221.375  56.5685  28.1195  10
2.8  1  429.698  240.703  42.4264  0  20
2.8  2  389.267  702.586  30.7818  -56.1233  15
2.8  3  511.639  148.576  -64.9519  -65.949  12
2.9  0  269.706  224.089  56.5685  27.1385  10
2.9  1  433.941  240.605  42.4264  0  20
2.9  2  392.345  696.876  30.7818  -57.1043  15
2.9  3  505.144  141.883  -64.9519  -66.93  12
3  0  275.362  226.705  56.5685  26.1575  10
3  1  438.184  240.507  42.4264  0  20
3  2  395.424  691.067  30.7818  -58.0853  15
3  3  498.649  135.092  -64.9519  -67.911  12
3.1  0  281.019  229.223  56.5685  25.1765  10
3.1  1  442.426  240.409  42.4264  0  20
3.1  2  398.502  685.161  30.7818  -59.0663  15
3.1  3  492.154  128.203  -64.9519  -68.892  12
3.2  0  286.676  231.642  56.5685  24.1955  10
3.2  1  446.669  240.311  42.4264  0  20
3.2  2  401.58  679.156  30.7818  -60.0473  15
3.2  3  485.659  121.216  -64.9519  -69.873  12
3.3  0  292.333  233.964  56.5685  23.2145  10
3.3  1  450.912  240.213  42.4264  0  20
3.3  2  404.658  673.053  30.7818  -61.0283  15
3.3  3  479.164  114.13  -64.9519  -70.854  12
3.4  0  297.99  236.187  56.5685  22.2335  10
3.4  1  455.154  240.115  42.4264  0  20
3.4  2  407.736  666.852  30.7818  -62.0093  15
3.4  3  472.668  106.947  -64.9519  -71.835  12
3.5  0  303.647  238.312  56.5685  21.2525  10
3.5  1  459.397  240.017  42.4264  0  20
3.5  2  410.815  660.553  30.7818  -62.9903  15
3.5  3  466.173  99.6654  -64.9519  -72.816  12
3.6  0  309.304  240.339  56.5685  20.2715  10
3.6  1  463.64  239.919  42.4264  -0.981  20
3.6  2  413.893  654.156  30.7818  -63.9713  15
3.6  3  459.678  92.2857  -64.9519  -73.797  12
3.7  0  314.96  242.268  56.5685  19.2905  10
3.7  1  467.882  239.722  42.4264  -1.962  20
3.7  2  416.971  647.661  30.7818  -64.9523  15
3.7  3  453.183  84.8079  -64.9519  -74.778  12
3.8  0  320.617  244.099  56.5685  18.3095  10
3.8  1  472.125  239.428  42.4264  -2.943  20
3.8  2  420.049  641.067  30.7818  -65.9333  15
3.8  3  446.688  77.232  -64.9519  -75.759  12
3.9  0  326.274  245.832  56.5685  17.3285  10
3.9  1  476.368  239.036  42.4264  -3.924  20
3.9  2  423.127  634.376  30.7818  -66.9143  15
3.9  3  440.192  69.558  -64.9519  -76.74  12
4  0  331.931  247.467  56.5685  16.3475  10
4  1  480.61  238.545  42.4264  -4.905  20
4  2  426.205  627.586  30.7818  -67.8953  15
4  3  433.697  61.7859  -64.9519  -77.721  12
4.1  0  337.588  249.004  56.5685  15.3665  10
4.1  1  484.853  237.957  42.4264  -5.886  20
4.1  2  429.284  620.699  30.7818  -68.8763  15
4.1  3  427.202  53.9157  -64.9519  -78.702  12
4.2  0  343.245  250.442  56.5685  -10.0699  10
4.2  1  489.095  237.27  42.4264  -6.867  20
4.2  2  432.362  613.713  30.7818  -69.8573  15
4.2  3  420.707  45.9474  -64.9519  -79.683  12
4.3  0  348.902  249.337  56.5685  7.73562  10
4.3  1  493.338  236.485  42.4264  -7.848  20
4.3  2  435.44  606.629  30.7818  -70.8383  15
4.3  3  414.212  37.881  -64.9519  -80.664  12
4.4  0  354.558  250.013  56.5685  -4.72823  10
4.4  1  497.581  235.602  42.4264  -8.829  20
4.4  2  438.518  599.447  30.7818  -71.8193  15
4.4  3  407.716  29.7165  -64.9519  -81.645  12
4.5  0  360.215  249.442  56.5685  3.99646  10
4.5  1  501.823  234.621  42.4264  -9.81  20
4.5  2  441.596  592.167  30.7818  -72.8003  15
4.5  3  401.221  21.4539  -64.9519  -82.626  12
4.6  0  365.872  249.743  56.5685  -2.11082  10
4.6  1  506.066  233.542  42.4264  -10.791  20
4.6  2  444.675  584.789  30.7818  -73.7813  15
4.6  3  394.726  13.0932  -64.9519  -83.607  12
4.7  0  371.529  249.434  56.5685  2.16428  10
4.7  1  510.309  232.365  42.4264  -11.772  20
4.7  2  447.753  577.313  30.7818  -74.7623  15
4.7  3  388.231  4.6344  -64.9519  -84.588  12
4.8  0  377.186  249.552  56.5685  0  10
4.8  1  514.551  231.09  42.4264  -12.753  20
4.8  2  450.831  569.739  30.7818  -75.7433  15
4.8  3  381.736  -3.9225  -64.9519  85.569  12
4.9  0  382.843  249.454  56.5685  0  10
4.9  1  518.794  229.716  42.4264  -13.734  20
4.9  2  453.909  562.066  30.7818  -76.7243  15
4.9  3  375.24  4.5363  -64.9519  84.588  12
5  0  388.5  249.356  56.5685  0  10
5  1  523.037  228.245  42.4264  -14.715  20
5  2  456.987  554.296  30.7818  -77.7053  15
5  3  368.745  12.897  -64.9519  83.607  12
5.1  0  394.156  249.258  56.5685  0  10
5.1  1  527.279  226.675  42.4264  -15.696  20
5.1  2  460.065  546.427  30.7818  -78.6863  15
5.1  3  362.25  21.1596  -64.9519  82.626  12
5.2  0  399.813  249.16  56.5685  0  10
5.2  1  531.522  225.007  42.4264  -16.677  20
5.2  2  463.144  538.46  30.7818  -79.6673  15
5.2  3  355.755  29.3241  -64.9519  81.645  12
5.3  0  405.47  249.062  56.5685  0  10
5.3  1  535.765  223.242  42.4264  -17.658  20
5.3  2  466.222  530.395  30.7818  -80.6483  15
5.3  3  349.26  37.3905  -64.9519  80.664  12
5.4  0  411.127  248.964  56.5685  0  10
5.4  1  540.007  221.378  42.4264  -18.639  20
5.4  2  469.3  522.233  30.7818  -81.6293  15
5.4  3  342.765  45.3588  -64.9519  79.683  12
5.5  0  416.784  248.866  56.5685  0  10
5.5  1  544.25  219.416  42.4264  -19.62  20
5.5  2  472.378  513.971  30.7818  -82.6103  15
5.5  3  336.269  53.229  -64.9519  78.702  12
5.6  0  422.441  248.767  56.5685  0  10
5.6  1  548.492  217.356  42.4264  -20.601  20
5.6  2  475.456  505.612  30.7818  -83.5913  15
5.6  3  329.774  61.0011  -64.9519  77.721  12
5.7  0  428.098  248.669  56.5685  0  10
5.7  1  552.735  215.197  42.4264  -21.582  20
5.7  2  478.535  497.155  30.7818  -84.5723  15
5.7  3  323.279  68.6751  -64.9519  76.74  12
5.8  0  433.754  248.571  56.5685  0  10
5.8  1  556.978  212.941  42.4264  -22.563  20
5.8  2  481.613  488.6  30.7818  -85.5533  15
5.8  3  316.784  76.251  -64.9519  75.759  12
5.9  0  439.411  248.473  56.5685  0  10
5.9  1  561.22  210.587  42.4264  -23.544  20
5.9  2  484.691  479.946  30.7818  -86.5343  15
5.9  3  310.289  83.7288  -64.9519  74.778  12
6  0  445.068  248.375  56.5685  0  10
6  1  565.463  208.134  42.4264  -24.525  20
6  2  487.769  471.195  30.7818  -87.5153  15
6  3  303.793  91.1085  -64.9519  73.797  12
6.1  0  450.725  248.277  56.5685  0  10
6.1  1  569.706  205.584  42.4264  -25.506  20
6.1  2  490.847  462.345  30.7818  -88.4963  15
6.1  3  297.298  98.3901  -64.9519  72.816  12
6.2  0  456.382  248.179  56.5685  0  10
6.2  1  573.948  202.935  42.4264  -26.487  20
6.2  2  493.925  453.397  30.7818  -89.4773  15
6.2  3  290.803  105.574  -64.9519  71.835  12
6.3  0  462.039  248.081  56.5685  0  10
6.3  1  578.191  200.188  42.4264  -27.468  20
6.3  2  497.004  444.352  30.7818  -90.4583  15
6.3  3  284.308  112.659  -64.9519  70.854  12
6.4  0  467.696  247.983  56.5685  0  10
6.4  1  582.434  197.343  42.4264  -28.449  20
6.4  2  500.082  435.208  30.7818  -91.4393  15
6.4  3  277.813  119.646  -64.9519  69.873  12
6.5  0  473.352  247.885  56.5685  0  10
6.5  1  586.676  194.4  42.4264  -29.43  20
6.5  2  503.16  425.966  30.7818  -92.4203  15
6.5  3  271.317  126.535  -64.9519  68.892  12
6.6  0  479.009  247.786  56.5685  0  10
6.6  1  590.919  191.359  42.4264  -30.411  20
6.6  2  506.238  416.625  30.7818  -93.4013  15
6.6  3  264.822  133.327  -64.9519  67.911  12
6.7  0  484.666  247.688  56.5685  -0.981  10
6.7  1  595.161  188.22  42.4264  -31.392  20
6.7  2  509.316  407.187  30.7818  -94.3823  15
6.7  3  258.327  140.02  -64.9519  66.93  12
6.8  0  490.323  247.492  56.5685  -1.962  10
6.8  1  599.404  184.983  42.4264  -32.373  20
6.8  2  512.395  397.651  30.7818  -95.3633  15
6.8  3  251.832  146.614  -64.9519  65.949  12
6.9  0  495.98  247.198  56.5685  -2.943  10
6.9  1  603.647  181.647  42.4264  -33.354  20
6.9  2  515.473  388.016  30.7818  -96.3443  15
6.9  3  245.337  153.111  -64.9519  64.968  12
7  0  501.637  246.805  56.5685  -3.924  10
7  1  607.889  178.214  42.4264  -34.335  20
7  2  518.551  378.284  30.7818  -97.3253  15
7  3  238.841  159.51  -64.9519  63.987  12
7.1  0  507.294  246.315  56.5685  -4.905  10
7.1  1  612.132  174.682  42.4264  -35.316  20
7.1  2  521.629  368.453  30.7818  -98.3063  15
7.1  3  232.346  165.811  -64.9519  63.006  12
7.2  0  512.95  245.726  56.5685  -5.886  10
7.2  1  616.375  171.052  42.4264  -36.297  20
7.2  2  524.707  358.525  30.7818  -99.2873  15
7.2  3  225.851  172.013  -64.9519  62.025  12
7.3  0  518.607  245.04  56.5685  -6.867  10
7.3  1  620.617  167.325  42.4264  -37.278  20
7.3  2  527.785  348.498  30.7818  -100.268  15
7.3  3  219.356  178.117  -64.9519  61.044  12
7.4  0  524.264  244.255  56.5685  -7.848  10
7.4  1  624.86  163.499  42.4264  -38.259  20
7.4  2  530.864  338.373  30.7818  -101.249  15
7.4  3  212.861  184.124  -64.9519  60.063  12
7.5  0  529.921  243.372  56.5685  -8.829  10
7.5  1  629.103  159.575  42.4264  -39.24  20
7.5  2  533.942  328.15  30.7818  -102.23  15
7.5  3  206.366  190.032  -64.9519  59.082  12
7.6  0  535.578  242.391  56.5685  -9.81  10
7.6  1  633.345  155.553  42.4264  -40.221  20
7.6  2  537.02  317.829  30.7818  -103.211  15
7.6  3  199.87  195.842  -64.9519  58.101  12
7.7  0  541.235  241.312  56.5685  -10.791  10
7.7  1  637.588  151.432  42.4264  -41.202  20
7.7  2  540.098  307.409  30.7818  -104.192  15
7.7  3  193.375  201.554  -64.9519  57.12  12
7.8  0  546.891  240.135  56.5685  -11.772  10
7.8  1  641.831  147.214  42.4264  -42.183  20
7.8  2  543.176  296.892  30.7818  -105.173  15
7.8  3  186.88  207.168  -64.9519  56.139  12
7.9  0  552.548  238.859  56.5685  -12.753  10
7.9  1  646.073  142.898  42.4264  -43.164  20
7.9  2  546.255  286.277  30.7818  -106.154  15
7.9  3  180.385  212.684  -64.9519  55.158  12
8  0  558.205  237.486  56.5685  -13.734  10
8  1  650.316  138.483  42.4264  -44.145  20
8  2  549.333  275.563  30.7818  -107.135  15
8  3  173.89  218.101  -64.9519  54.177  12
8.1  0  563.862  236.014  56.5685  -14.715  10
8.1  1  654.558  133.971  42.4264  -45.126  20
8.1  2  552.411  264.751  30.7818  -108.116  15
8.1  3  167.394  223.421  -64.9519  53.196  12
8.2  0  569.519  234.445  56.5685  -15.696  10
8.2  1  658.801  129.36  42.4264  -46.107  20
8.2  2  555.489  253.842  30.7818  -109.097  15
8.2  3  160.899  228.643  -64.9519  52.215  12
8.3  0  565.211  238.811  41.0965  -72.7178  25
8.3  1  663.044  124.651  42.4264  -47.088  20
8.3  2  154.404  233.766  -64.9519  51.234  12
8.4  0  569.32  231.441  41.0965  -73.6988  25
8.4  1  667.286  119.844  42.4264  -48.069  20
8.4  2  147.909  238.791  -64.9519  50.253  12
8.5  0  573.43  223.973  41.0965  -74.6798  25
8.5  1  671.529  114.939  42.4264  -49.05  20
8.5  2  141.414  243.718  -64.9519  49.272  12
8.6  0  577.54  216.407  41.0965  -75.6608  25
8.6  1  675.772  109.936  42.4264  -50.031  20
8.6  2  134.918  248.548  -64.9519  48.291  12
8.7  0  581.649  208.743  41.0965  -76.6418  25
8.7  1  680.014  104.835  42.4264  -51.012  20
8.7  2  128.423  253.279  -64.9519  47.31  12
8.8  0  585.759  200.981  41.0965  -77.6228  25
8.8  1  684.257  99.6357  42.4264  -51.993  20
8.8  2  121.928  257.911  -64.9519  46.329  12
8.9  0  589.869  193.12  41.0965  -78.6038  25
8.9  1  688.5  94.3383  42.4264  -52.974  20
8.9  2  115.433  262.446  -64.9519  45.348  12
9  0  593.978  185.162  41.0965  -79.5848  25
9  1  692.742  88.9428  42.4264  -53.955  20
9  2  108.938  266.883  -64.9519  44.367  12
9.1  0  598.088  177.105  41.0965  -80.5658  25
9.1  1  696.985  83.4492  42.4264  -54.936  20
9.1  2  102.442  271.222  -64.9519  43.386  12
9.2  0  602.197  168.951  41.0965  -81.5468  25
9.2  1  701.227  77.8575  42.4264  -55.917  20
9.2  2  95.9473  275.462  -64.9519  42.405  12
9.3  0  606.307  160.698  41.0965  -82.5278  25
9.3  1  705.47  72.1677  42.4264  -56.898  20
9.3  2  89.4521  279.604  -64.9519  41.424  12
9.4  0  610.417  152.347  41.0965  -83.5088  25
9.4  1  709.713  66.3798  42.4264  -57.879  20
9.4  2  82.9569  283.649  -64.9519  40.443  12
9.5  0  614.526  143.898  41.0965  -84.4898  25
9.5  1  713.955  60.4938  42.4264  -58.86  20
9.5  2  76.4617  287.595  -64.9519  39.462  12
9.6  0  618.636  135.351  41.0965  -85.4708  25
9.6  1  718.198  54.5097  42.4264  -59.841  20
9.6  2  69.9665  291.443  -64.9519  38.481  12
9.7  0  622.746  126.706  41.0965  -86.4518  25
9.7  1  722.441  48.4275  42.4264  -60.822  20
9.7  2  63.4713  295.193  -64.9519  37.5  12
9.8  0  626.855  117.963  41.0965  -87.4328  25
9.8  1  726.683  42.2472  42.4264  -61.803  20
9.8  2  56.9761  298.845  -64.9519  36.519  12
9.9  0  630.965  109.121  41.0965  -88.4138  25
9.9  1  730.926  35.9688  42.4264  -62.784  20
9.9  2  50.4809  302.399  -64.9519  35.538  12
10  0  635.075  100.182  41.0965  -89.3948  25
10  1  735.169  29.5923  42.4264  -63.765  20
10  2  43.9858  305.854  -64.9519  34.557  12
10.1  0  639.184  91.1441  41.0965  -90.3758  25
10.1  1  739.411  23.1177  42.4264  -64.746  20
10.1  2  37.4906  309.212  -64.9519  33.576  12
10.2  0  643.294  82.0084  41.0965  -91.3568  25
10.2  1  743.654  16.545  42.4264  -65.727  20
10.2  2  30.9954  312.472  -64.9519  32.595  12
10.3  0  647.404  72.7746  41.0965  -92.3378  25
10.3  1  747.897  9.87418  42.4264  -66.708  20
10.3  2  24.5002  315.633  -64.9519  31.614  12
10.4  0  651.513  63.4427  41.0965  -93.3188  25
10.4  1  752.139  3.10528  42.4264  -67.689  20
10.4  2  18.005  318.696  -64.9519  30.633  12
10.5  0  655.623  54.0128  41.0965  -94.2998  25
10.5  1  756.382  -3.76172  42.4264  68.67  20
10.5  2  11.5098  321.661  -64.9519  29.652  12
10.6  0  659.733  44.4847  41.0965  -95.2808  25
10.6  1  760.624  3.00718  42.4264  67.689  20
10.6  2  5.01461  324.529  -64.9519  28.671  12
10.7  0  663.842  34.8585  41.0965  -96.2618  25
10.7  1  764.867  9.67798  42.4264  66.708  20
10.7  2  -1.48058  327.298  64.9519  27.69  12
10.8  0  667.952  25.1342  41.0965  -97.2428  25
10.8  1  769.11  16.2507  42.4264  65.727  20
10.8  2  5.01461  329.969  64.9519  26.709  12
10.9  0  672.062  15.3118  41.0965  -98.2238  25
10.9  1  773.352  22.7253  42.4264  64.746  20
10.9  2  11.5098  332.541  64.9519  25.728  12
11  0  676.171  5.39136  41.0965  -99.2048  25
11  1  777.595  29.1018  42.4264  63.765  20
11  2  18.005  335.016  64.9519  24.747  12
11.1  0  680.281  -4.62722  41.0965  100.186  25
11.1  1  781.838  35.3802  42.4264  62.784  20
11.1  2  24.5002  337.393  64.9519  23.766  12
11.2  0  684.391  5.29326  41.0965  99.2048  25
11.2  1  786.08  41.5605  42.4264  61.803  20
11.2  2  30.9954  339.671  64.9519  22.785  12
11.3  0  688.5  15.1156  41.0965  98.2238  25
11.3  1  790.323  47.6427  42.4264  60.822  20
11.3  2  37.4906  341.851  64.9519  21.804  12
11.4  0  692.61  24.8399  41.0965  97.2428  25
11.4  1  794.566  53.6268  42.4264  59.841  20
11.4  2  43.9858  343.934  64.9519  20.823  12
11.5  0  696.719  34.4661  41.0965  96.2618  25
11.5  1  798.808  59.5128  42.4264  58.86  20
11.5  2  50.4809  345.918  64.9519  19.842  12
11.6  0  700.829  43.9942  41.0965  95.2808  25
11.6  1  803.051  65.3007  42.4264  57.879  20
11.6  2  56.9761  347.804  64.9519  18.861  12
11.7  0  704.939  53.4242  41.0965  94.2998  25
11.7  1  807.294  70.9905  42.4264  56.898  20
11.7  2  63.4713  349.592  64.9519  17.88  12
11.8  0  709.048  62.756  41.0965  93.3188  25
11.8  1  811.536  76.5822  42.4264  55.917  20
11.8  2  69.9665  351.282  64.9519  16.899  12
11.9  0  713.158  71.9898  41.0965  92.3378  25
11.9  1  815.779  82.0758  42.4264  54.936  20
11.9  2  76.4617  352.874  64.9519  15.918  12
12  0  717.268  81.1255  41.0965  91.3568  25
12  1  820.021  87.4713  42.4264  53.955  20
12  2  82.9569  354.367  64.9519  14.937  12
12.1  0  721.377  90.1631  41.0965  90.3758  25
12.1  1  824.264  92.7687  42.4264  52.974  20
12.1  2  89.4521  355.763  64.9519  13.956  12
12.2  0  725.487  99.1026  41.0965  89.3948  25
12.2  1  828.507  97.968  42.4264  51.993  20
12.2  2  95.9473  357.061  64.9519  12.975  12
12.3  0  729.597  107.944  41.0965  88.4138  25
12.3  1  832.749  103.069  42.4264  51.012  20
12.3  2  102.442  358.26  64.9519  11.994  12
12.4  0  733.706  116.687  41.0965  87.4328  25
12.4  1  836.992  108.072  42.4264  50.031  20
12.4  2  108.938  359.361  64.9519  11.013  12
12.5  0  737.816  125.332  41.0965  86.4518  25
12.5  1  841.235  112.977  42.4264  49.05  20
12.5  2  115.433  360.364  64.9519  10.032  12
12.6  0  741.926  133.879  41.0965  85.4708  25
12.6  1  845.477  117.784  42.4264  48.069  20
12.6  2  121.928  361.27  64.9519  9.051  12
12.7  0  746.035  142.328  41.0965  84.4898  25
12.7  1  849.72  122.493  42.4264  47.088  20
12.7  2  128.423  362.077  64.9519  8.07  12
12.8  0  750.145  150.679  41.0965  83.5088  25
12.8  1  853.963  127.104  42.4264  46.107  20
12.8  2  134.918  362.785  64.9519  7.089  12
12.9  0  754.255  158.932  41.0965  82.5278  25
12.9  1  858.205  131.616  42.4264  45.126  20
12.9  2  141.414  363.396  64.9519  6.108  12
13  0  758.364  167.087  41.0965  81.5468  25
13  1  862.448  136.031  42.4264  44.145  20
13  2  147.909  363.909  64.9519  5.127  12
13.1  0  762.474  175.143  41.0965  80.5658  25
13.1  1  866.69  140.347  42.4264  43.164  20
13.1  2  154.404  364.324  64.9519  4.146  12
13.2  0  766.584  183.102  41.0965  79.5848  25
13.2  1  870.933  144.565  42.4264  42.183  20
13.2  2  160.899  364.64  64.9519  3.165  12
13.3  0  770.693  190.962  41.0965  78.6038  25
13.3  1  875.176  148.686  42.4264  41.202  20
13.3  2  167.394  364.858  64.9519  2.184  12
13.4  0  774.803  198.725  41.0965  77.6228  25
13.4  1  879.418  152.708  42.4264  40.221  20
13.4  2  173.89  364.979  64.9519  1.203  12
13.5  0  778.912  206.389  41.0965  76.6418  25
13.5  1  883.661  156.632  42.4264  39.24  20
13.5  2  180.385  365.001  64.9519  0.222  12
13.6  0  783.022  213.955  41.0965  75.6608  25
13.6  1  887.904  160.458  42.4264  38.259  20
13.6  2  186.88  364.925  64.9519  -0.759  12
13.7  0  787.132  221.423  41.0965  74.6798  25
13.7  1  892.146  164.185  42.4264  37.278  20
13.7  2  193.375  364.751  64.9519  -1.74  12
13.8  0  791.241  228.793  41.0965  73.6988  25
13.8  1  896.389  167.815  42.4264  36.297  20
13.8  2  199.87  364.479  64.9519  -2.721  12
13.9  0  795.351  236.064  41.0965  72.7178  25
13.9  1  900.632  171.347  42.4264  35.316  20
13.9  2  206.366  364.109  64.9519  -3.702  12
14  0  799.461  243.238  41.0965  71.7368  25
14  1  904.874  174.78  42.4264  34.335  20
14  2  212.861  363.64  64.9519  -4.683  12
14.1  0  803.57  250.314  41.0965  70.7558  25
14.1  1  909.117  178.116  42.4264  33.354  20
14.1  2  219.356  363.074  64.9519  -5.664  12
14.2  0  807.68  257.291  41.0965  69.7748  25
14.2  1  913.36  181.353  42.4264  32.373  20
14.2  2  225.851  362.41  64.9519  -6.645  12
14.3  0  811.79  264.171  41.0965  68.7938  25
14.3  1  917.602  184.492  42.4264  31.392  20
14.3  2  232.346  361.647  64.9519  -7.626  12
14.4  0  815.899  270.952  41.0965  67.8128  25
14.4  1  921.845  187.533  42.4264  30.411  20
14.4  2  238.841  360.786  64.9519  -8.607  12
14.5  0  820.009  277.635  41.0965  66.8318  25
14.5  1  926.087  190.476  42.4264  29.43  20
14.5  2  245.337  359.827  64.9519  -9.588  12
14.6  0  824.119  284.22  41.0965  65.8508  25
14.6  1  930.33  193.321  42.4264  28.449  20
14.6  2  251.832  358.771  64.9519  -10.569  12
14.7  0  828.228  290.707  41.0965  64.8698  25
14.7  1  934.573  196.068  42.4264  27.468  20
14.7  2  258.327  357.616  64.9519  -11.55  12
14.8  0  832.338  297.096  41.0965  63.8888  25
14.8  1  938.815  198.717  42.4264  26.487  20
14.8  2  264.822  356.362  64.9519  -12.531  12
14.9  0  836.448  303.387  41.0965  62.9078  25
14.9  1  943.058  201.267  42.4264  25.506  20
14.9  2  271.317  355.011  64.9519  -13.512  12
15  0  840.557  309.579  41.0965  61.9268  25
15  1  947.301  203.72  42.4264  24.525  20
15  2  277.813  353.562  64.9519  -14.493  12
15.1  0  844.667  315.674  41.0965  60.9458  25
15.1  1  951.543  206.074  42.4264  23.544  20
